1,11,1,2022-10-20,,
2,33,4,2022-10-21,,
3,23,6,2022-10-22,,
4,12,8,2022-10-23,,
5,14,6,2022-10-24,,
6,16,3,2022-10-25,,
7,22,2,2022-10-26,,
8,32,8,2022-10-27,,
9,43,13,2022-10-02,,
10,17,12,2022-10-03,,
11,25,14,2022-10-04,,
12,48,15,2022-10-05,,
13,49,12,2022-10-06,,
14,23,1,2022-10-07,,
15,44,4,2022-10-08,,
16,22,6,2022-10-09,,
17,11,8,2022-10-10,,
18,65,6,2022-10-11,,
19,12,3,2022-10-12,,
20,8,2,2022-10-13,,
21,9,8,2022-10-14,,
22,12,13,2022-10-15,,
23,13,12,2022-10-16,,
24,24,14,2022-10-17,,
25,12,15,2022-10-18,,
26,13,12,2022-10-19,,
27,17,1,2022-10-01,,
28,28,4,2022-10-02,,
29,19,6,2022-10-03,,
30,20,8,2022-10-04,,
31,30,6,2022-10-05,,
32,26,3,2022-10-06,,
33,60,2,2022-10-07,,
34,7,8,2022-10-08,,
35,61,13,2022-10-09,,
36,8,12,2022-10-10,,
37,25,14,2022-10-11,,
38,24,15,2022-10-12,,
39,54,12,2022-10-13,,
40,43,1,2022-10-14,,
41,34,4,2022-10-15,,
42,87,6,2022-10-16,,
43,56,8,2022-10-17,,
44,37,6,2022-10-18,,
45,33,3,2022-10-19,,
46,34,2,2022-10-20,,
47,39,8,2022-10-21,,
48,44,13,2022-10-22,,
49,32,12,2022-10-23,,
50,22,14,2022-10-24,,
51,26,15,2022-10-25,,
52,47,12,2022-10-26,,
53,37,1,2022-10-27,,
54,36,4,2022-10-28,,
55,35,6,2022-10-29,,
56,45,8,2022-10-03,,
57,46,6,2022-10-04,,
58,68,3,2022-10-05,,
59,71,2,2022-10-06,,
60,72,8,2022-10-07,,
61,8,13,2022-10-08,,
62,12,12,2022-10-09,,
63,13,14,2022-10-10,,
64,19,15,2022-10-11,,
65,25,12,2022-10-12,,
66,21,1,2022-10-13,,
67,30,4,2022-10-14,,
68,34,6,2022-10-15,,
69,32,8,2022-10-16,,
70,32,6,2022-10-17,,
71,33,3,2022-10-18,,
72,36,2,2022-10-19,,
73,69,8,2022-10-20,,
74,90,13,2022-10-21,,
75,22,12,2022-10-22,,
76,23,14,2022-10-23,,
77,13,15,2022-10-24,,
78,14,12,2022-10-25,,
79,24,1,2022-10-26,,
80,34,4,2022-10-27,,
81,35,6,2022-10-27,,
82,39,8,2022-10-27,,
83,41,6,2022-10-27,,
84,42,3,2022-10-27,,
85,40,2,2022-10-27,,
86,37,8,2022-10-27,,
87,35,13,2022-10-27,,
88,39,12,2022-10-27,,
89,60,14,2022-10-27,,
90,11,15,2022-10-27,,
91,20,12,2022-10-27,,
92,37,1,2022-10-27,,
93,77,4,2022-10-27,,
94,72,6,2022-10-27,,
95,70,8,2022-10-27,,
96,74,6,2022-10-27,,
97,56,3,2022-10-27,,
98,55,2,2022-10-27,,
